Independent Variables,Dependent Variable,RMSE,R2,Adj R2,Cross Validation RMSE
"['Bottle Volume (ml)', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita - Log,0.5657301598801581,0.1840967976119019,0.18230228910225055,0.5729832674455032
"['Bottle Volume (ml)', 'Wages Per Capita']",Sale (Dollars) Per Capita,6.2054588681901555,0.47840920763371464,0.47726201380886213,6.576060873920772
"['Bottle Volume (ml)', 'Wages Per Capita']",Sale (Dollars) Per Capita - Sqrt,0.7895985831678706,0.46793820043819545,0.4667679765388659,0.7724796007809565
"['Bottle Volume (ml)', 'Wages Per Capita']",Sale (Dollars) Per Capita - Log,0.4999037294602075,0.42279055302967494,0.4215210307856053,0.47896629299767995
"['Bottle Volume (ml)', 'Average Emp Per Capita']",Sale (Dollars) Per Capita,5.9212620698339125,0.5429933600622332,0.541988213493455,6.174672792264184
"['Bottle Volume (ml)', 'Average Emp Per Capita']",Sale (Dollars) Per Capita - Sqrt,0.7174170401921242,0.5693249237502811,0.5683776911778844,0.7170926564541806
"['Bottle Volume (ml)', 'Average Emp Per Capita']",Sale (Dollars) Per Capita - Log,0.4586253547277357,0.4938297767715367,0.49271649915446525,0.45124309712344257
"['State Bottle Cost', 'State Bottle Retail']",Sale (Dollars) Per Capita,7.780201467879246,0.23648089364409253,0.23480159942190215,7.839470345166764
"['State Bottle Cost', 'State Bottle Retail']",Sale (Dollars) Per Capita - Sqrt,0.9939457819196175,0.2013946768522472,0.1996382135315411,0.9611006608049859
"['State Bottle Cost', 'State Bottle Retail']",Sale (Dollars) Per Capita - Log,0.5600773315054282,0.1467823271597899,0.1449057487004639,0.582024993113856
"['State Bottle Cost', 'Bottles Sold']",Sale (Dollars) Per Capita,8.236139822024514,0.22997063623027136,0.22827702326010335,7.747577173699926
"['State Bottle Cost', 'Bottles Sold']",Sale (Dollars) Per Capita - Sqrt,0.9473533256835223,0.2530974024255792,0.25145465477695506,0.9445622639599804
"['State Bottle Cost', 'Bottles Sold']",Sale (Dollars) Per Capita - Log,0.5783428727156787,0.18902408529163173,0.18724041392497104,0.5706205486535265
"['State Bottle Cost', 'Sale (Dollars)']",Sale (Dollars) Per Capita,7.255910727069437,0.26861828173018,0.267009670912871,7.774359428694875
"['State Bottle Cost', 'Sale (Dollars)']",Sale (Dollars) Per Capita - Sqrt,0.943683774414131,0.23941316330919127,0.23774031836045773,0.9490650826590755
"['State Bottle Cost', 'Sale (Dollars)']",Sale (Dollars) Per Capita - Log,0.5750099170090697,0.18412010661572875,0.18232564937221496,0.5734352004023413
"['State Bottle Cost', 'Volume Sold (Liters)']",Sale (Dollars) Per Capita,7.446215943149599,0.24133383034062994,0.23966520973287475,7.827853154358453
"['State Bottle Cost', 'Volume Sold (Liters)']",Sale (Dollars) Per Capita - Sqrt,0.9481394769786415,0.22193477797719086,0.22022349083197945,0.9613765782446734
"['State Bottle Cost', 'Volume Sold (Liters)']",Sale (Dollars) Per Capita - Log,0.5649303792839632,0.14900799632729544,0.14713631303476016,0.5820556997344049
"['State Bottle Cost', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita,7.447665380051342,0.23883672875167883,0.23716261598500366,7.793566517213631
"['State Bottle Cost', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita - Sqrt,0.998860806167822,0.20679190436476425,0.20504731177905633,0.9600373191506758
"['State Bottle Cost', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita - Log,0.5866469309643836,0.15021097366281366,0.14834193621485792,0.5811149198661587
"['State Bottle Cost', 'Wages Per Capita']",Sale (Dollars) Per Capita,6.8586359878202385,0.4277832015313716,0.42652466018576607,6.552961641578834
"['State Bottle Cost', 'Wages Per Capita']",Sale (Dollars) Per Capita - Sqrt,0.7964851697685704,0.45811727272831626,0.4569254485480999,0.7748697751548632
"['State Bottle Cost', 'Wages Per Capita']",Sale (Dollars) Per Capita - Log,0.4794109480488694,0.4322874648319076,0.43103883022376666,0.4794117359938587
"['State Bottle Cost', 'Average Emp Per Capita']",Sale (Dollars) Per Capita,6.171302553172642,0.5263479956372186,0.5253062390293826,6.189465343495719
"['State Bottle Cost', 'Average Emp Per Capita']",Sale (Dollars) Per Capita - Sqrt,0.7204835675101597,0.5753087326562181,0.574374660953849,0.7207828669429752
"['State Bottle Cost', 'Average Emp Per Capita']",Sale (Dollars) Per Capita - Log,0.4469118330148754,0.5043491448442994,0.5032590036672707,0.45190369334919805
"['State Bottle Retail', 'Bottles Sold']",Sale (Dollars) Per Capita,7.719843636506561,0.252613833451096,0.25097002223434617,7.732712868234413
"['State Bottle Retail', 'Bottles Sold']",Sale (Dollars) Per Capita - Sqrt,0.9581597446833796,0.22859153762050965,0.2268948914422556,0.9453722875267025
"['State Bottle Retail', 'Bottles Sold']",Sale (Dollars) Per Capita - Log,0.5766392012384893,0.19935272531661052,0.19759177090015145,0.5705015446436267
"['State Bottle Retail', 'Sale (Dollars)']",Sale (Dollars) Per Capita,7.9310369304882995,0.21546281333240935,0.2137372916608531,7.763442471442032
"['State Bottle Retail', 'Sale (Dollars)']",Sale (Dollars) Per Capita - Sqrt,0.9559742604355342,0.22320103137202618,0.22149252924161278,0.949539221694678
"['State Bottle Retail', 'Sale (Dollars)']",Sale (Dollars) Per Capita - Log,0.5966575669891517,0.18117205879272513,0.179371117573061,0.573060253314418
"['State Bottle Retail', 'Volume Sold (Liters)']",Sale (Dollars) Per Capita,7.820365590758829,0.22650820088284163,0.22480697258566307,7.819746794536821
"['State Bottle Retail', 'Volume Sold (Liters)']",Sale (Dollars) Per Capita - Sqrt,0.9576507073273877,0.19750691528048803,0.19574190116453594,0.9612293815936301
"['State Bottle Retail', 'Volume Sold (Liters)']",Sale (Dollars) Per Capita - Log,0.5823145447474045,0.15438942674971778,0.15252957944784773,0.5815957895163313
"['State Bottle Retail', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita,7.825895238993168,0.2368996542467514,0.23522128105227935,7.791145360990383
"['State Bottle Retail', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita - Sqrt,1.0000020430295724,0.21441050300167874,0.2126826668645856,0.9607188078187938
"['State Bottle Retail', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita - Log,0.5883788102039051,0.14968762528902868,0.14781743678159975,0.5824381193508354
"['State Bottle Retail', 'Wages Per Capita']",Sale (Dollars) Per Capita,7.020613443821108,0.4256284852707328,0.4243652048131171,6.594285023869789
"['State Bottle Retail', 'Wages Per Capita']",Sale (Dollars) Per Capita - Sqrt,0.7948585768540574,0.469497557990152,0.46833076376285765,0.7738005524478293
"['State Bottle Retail', 'Wages Per Capita']",Sale (Dollars) Per Capita - Log,0.4997041627058727,0.3951437729658527,0.3938134440207629,0.47900130348917835
"['State Bottle Retail', 'Average Emp Per Capita']",Sale (Dollars) Per Capita,6.190237897316577,0.5103098720177933,0.5092328409445186,6.183570971914027
"['State Bottle Retail', 'Average Emp Per Capita']",Sale (Dollars) Per Capita - Sqrt,0.7430393152856396,0.5667083520576304,0.5657553645621559,0.7203861882301231
"['State Bottle Retail', 'Average Emp Per Capita']",Sale (Dollars) Per Capita - Log,0.4749407962892222,0.47816892844481174,0.47702120614666976,0.45229197671723853
"['Bottles Sold', 'Sale (Dollars)']",Sale (Dollars) Per Capita,7.47379169191429,0.2343701639724396,0.2326862273829361,7.89556994325749
"['Bottles Sold', 'Sale (Dollars)']",Sale (Dollars) Per Capita - Sqrt,0.9741293948132671,0.2023163911331124,0.20056195504322927,0.9716335135900571
"['Bottles Sold', 'Sale (Dollars)']",Sale (Dollars) Per Capita - Log,0.5760279681881011,0.14868631910680774,0.1468139283130544,0.5883799034949294
"['Bottles Sold', 'Volume Sold (Liters)']",Sale (Dollars) Per Capita,7.7341486529458265,0.23891427059310433,0.23724032837300124,7.70999608871049
"['Bottles Sold', 'Volume Sold (Liters)']",Sale (Dollars) Per Capita - Sqrt,0.9221984339660001,0.2385713458254326,0.23689664937196953,0.9422281946295386
"['Bottles Sold', 'Volume Sold (Liters)']",Sale (Dollars) Per Capita - Log,0.5703645437429782,0.1908627103250229,0.18908308285506314,0.5735377982697496
"['Bottles Sold', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita,8.161819059998425,0.20862282083393402,0.20688225519060688,7.774493789464005
"['Bottles Sold', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita - Sqrt,0.9317599645090798,0.241655784978843,0.23998787248246212,0.9446422498365001
"['Bottles Sold', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita - Log,0.5808669995136433,0.1748241078940207,0.17300920490551774,0.5735450977427197
